quartil,destino,pre,pos,n_pre,n_pos,dif_pp
Q1,desocupado,2.729996016976505,2.93515574056404,10524,7506,0.20515972358753487
Q1,fora_da_forca,3.4975441242239587,4.317339921809717,10524,7506,0.8197957975857584
Q1,mesmo_grupo,88.03318075992617,87.64605649551017,10524,7506,-0.387124264416002
Q1,outro_grupo,5.739279098873371,5.101447842116082,10524,7506,-0.6378312567572886
Q2,desocupado,3.136771134847639,2.885197888796797,11036,8219,-0.25157324605084197
Q2,fora_da_forca,3.569169469823741,3.9175419758093515,11036,8219,0.34837250598561065
Q2,mesmo_grupo,87.99804792724805,87.72186616490403,11036,8219,-0.2761817623440237
Q2,outro_grupo,5.296011468080579,5.475393970489839,11036,8219,0.17938250240926035
Q3,desocupado,3.073461980399456,2.91523675298585,9688,6835,-0.158225227413606
Q3,fora_da_forca,4.2659811999602955,4.119910287694943,9688,6835,-0.14607091226535207
Q3,mesmo_grupo,86.96570017495083,86.04138001785017,9688,6835,-0.9243201571006523
Q3,outro_grupo,5.694856644689429,6.9234729414690195,9688,6835,1.2286162967795908
Q4,desocupado,2.9422061725739237,2.8077439242520486,10371,7090,-0.13446224832187514
Q4,fora_da_forca,3.847366994379463,3.9164683097887383,10371,7090,0.06910131540927544
Q4,mesmo_grupo,87.90034355599,84.00044767614119,10371,7090,-3.8998958798488133
Q4,outro_grupo,5.310083277056619,9.275340089818016,10371,7090,3.965256812761397
Todos,desocupado,2.971540933032244,2.8858232604615757,41619,29650,-0.08571767257066831
Todos,fora_da_forca,3.7825318073896703,4.064306120932223,41619,29650,0.28177431354255233
Todos,mesmo_grupo,87.74289069666341,86.41419253519285,41619,29650,-1.3286981614705553
Todos,outro_grupo,5.503036562914667,6.635678083413339,41619,29650,1.1326415204986722
