quartil,grupo_destino,pre,pos,n_pre,n_pos,dif_pp,nome_grupo
Q1,0,0.0,0.0,308.0,380.0,0.0,"Forças armadas, policiais e bombeiros militares"
Q1,1,8.417955737750512,8.282161899600093,308.0,380.0,-0.1357938381504198,Diretores e gerentes
Q1,2,11.678793249736522,12.673232316213543,308.0,380.0,0.9944390664770211,Profissionais das ciências e intelectuais
Q1,3,13.466971022681772,15.849103885014218,308.0,380.0,2.382132862332446,Técnicos e profissionais de nível médio
Q1,4,13.629719406134013,13.602535111908765,308.0,380.0,-0.027184294225248706,Apoio administrativo
Q1,5,14.117587209444524,17.968645736618274,308.0,380.0,3.85105852717375,"Serviços, vendedores do comércio e mercados"
Q1,6,10.414526910923877,6.027309960909193,308.0,380.0,-4.387216950014684,"Qualificados da agropecuária, florestais, caça e pesca"
Q1,7,11.278511888598208,9.905585147743658,308.0,380.0,-1.3729267408545507,"Operários, artesãos da construção e ofícios mecânicos"
Q1,8,7.971190810844732,8.115252252723241,308.0,380.0,0.14406144187850956,Operadores de instalações e máquinas e montadores
Q1,9,9.024743763885846,7.57617368926901,308.0,380.0,-1.4485700746168364,Ocupações elementares
Q2,0,0.0,0.0,280.0,442.0,0.0,"Forças armadas, policiais e bombeiros militares"
Q2,1,6.047574010956655,6.51189808659189,280.0,442.0,0.4643240756352345,Diretores e gerentes
Q2,2,10.403381251757047,16.168035976498256,280.0,442.0,5.764654724741209,Profissionais das ciências e intelectuais
Q2,3,12.182835782691154,14.04266770685455,280.0,442.0,1.8598319241633963,Técnicos e profissionais de nível médio
Q2,4,10.729881034256296,14.56155518090455,280.0,442.0,3.831674146648254,Apoio administrativo
Q2,5,11.470919403612063,7.946429073751446,280.0,442.0,-3.524490329860617,"Serviços, vendedores do comércio e mercados"
Q2,6,15.709814505647268,11.738701552968005,280.0,442.0,-3.9711129526792632,"Qualificados da agropecuária, florestais, caça e pesca"
Q2,7,11.083381918739848,9.406492797761596,280.0,442.0,-1.6768891209782524,"Operários, artesãos da construção e ofícios mecânicos"
Q2,8,9.638252516763062,8.65753876793996,280.0,442.0,-0.9807137488231028,Operadores de instalações e máquinas e montadores
Q2,9,12.733959575576609,10.966680856729747,280.0,442.0,-1.7672787188468622,Ocupações elementares
Q3,0,0.0,0.0,280.0,472.0,0.0,"Forças armadas, policiais e bombeiros militares"
Q3,1,8.454546808387974,8.537160889769034,280.0,472.0,0.08261408138105963,Diretores e gerentes
Q3,2,9.259628698903857,16.58574585921924,280.0,472.0,7.326117160315384,Profissionais das ciências e intelectuais
Q3,3,8.91193110984404,6.194975757858023,280.0,472.0,-2.7169553519860177,Técnicos e profissionais de nível médio
Q3,4,12.54411097069128,8.619602748157666,280.0,472.0,-3.924508222533614,Apoio administrativo
Q3,5,11.980328051591535,8.91869789783581,280.0,472.0,-3.0616301537557256,"Serviços, vendedores do comércio e mercados"
Q3,6,9.138573730659036,13.091519436563248,280.0,472.0,3.9529457059042112,"Qualificados da agropecuária, florestais, caça e pesca"
Q3,7,11.745620014500059,10.990252620986142,280.0,472.0,-0.7553673935139162,"Operários, artesãos da construção e ofícios mecânicos"
Q3,8,13.03437621967304,14.026019034584031,280.0,472.0,0.9916428149109908,Operadores de instalações e máquinas e montadores
Q3,9,14.930884395749189,13.036025755026802,280.0,472.0,-1.8948586407223864,Ocupações elementares
Q4,0,0.0,0.0,277.0,642.0,0.0,"Forças armadas, policiais e bombeiros militares"
Q4,1,6.7740429126676025,4.414998676915965,277.0,642.0,-2.3590442357516377,Diretores e gerentes
Q4,2,9.322696658842013,9.401276477251951,277.0,642.0,0.07857981840993844,Profissionais das ciências e intelectuais
Q4,3,10.39090176437847,11.044511617155978,277.0,642.0,0.6536098527775085,Técnicos e profissionais de nível médio
Q4,4,8.263118198964404,9.549470697180352,277.0,642.0,1.2863524982159475,Apoio administrativo
Q4,5,14.72920209798799,10.207841842950993,277.0,642.0,-4.521360255036997,"Serviços, vendedores do comércio e mercados"
Q4,6,14.24000704815305,14.436866368260779,277.0,642.0,0.19685932010772866,"Qualificados da agropecuária, florestais, caça e pesca"
Q4,7,11.885651670426038,12.129270657947105,277.0,642.0,0.24361898752106725,"Operários, artesãos da construção e ofícios mecânicos"
Q4,8,13.191930782487235,16.44561998786764,277.0,642.0,3.2536892053804056,Operadores de instalações e máquinas e montadores
Q4,9,11.202448866093198,12.370143674469235,277.0,642.0,1.1676948083760372,Ocupações elementares
Todos,0,0.0,0.0,1145.0,1936.0,0.0,"Forças armadas, policiais e bombeiros militares"
Todos,1,7.440166834230981,6.62499359894239,1145.0,1936.0,-0.815173235288591,Diretores e gerentes
Todos,2,10.19480848293936,13.290385221259571,1145.0,1936.0,3.0955767383202115,Profissionais das ciências e intelectuais
Todos,3,11.278079837796717,11.50409298857816,1145.0,1936.0,0.22601315078144246,Técnicos e profissionais de nível médio
Todos,4,11.34960177250203,11.256517719891429,1145.0,1936.0,-0.09308405261060138,Apoio administrativo
Todos,5,13.070756224548413,10.889499518009716,1145.0,1936.0,-2.181256706538697,"Serviços, vendedores do comércio e mercados"
Todos,6,12.338947039973528,11.870816127094482,1145.0,1936.0,-0.4681309128790456,"Qualificados da agropecuária, florestais, caça e pesca"
Todos,7,11.490994347116299,10.805938855814826,1145.0,1936.0,-0.6850554913014726,"Operários, artesãos da construção e ofícios mecânicos"
Todos,8,10.895506687725618,12.478323800612854,1145.0,1936.0,1.582817112887236,Operadores de instalações e máquinas e montadores
Todos,9,11.941138773167053,11.279432169796564,1145.0,1936.0,-0.6617066033704884,Ocupações elementares
