dimensao,categoria,pre,pos,n_pre,n_pos,dif_pp
quartil,Q1,25.539549841391267,25.21573647397365,20807,29650,-0.32381336741761757
quartil,Q2,25.959127454369586,27.634805530673372,20807,29650,1.675678076303786
quartil,Q3,23.733711856350904,22.83618003452519,20807,29650,-0.8975318218257158
quartil,Q4,24.767610847888243,24.31327796082779,20807,29650,-0.4543328870604526
grupo_origem,0,0.33971027940547144,0.25320380356616345,21037,29906,-0.08650647583930798
grupo_origem,1,6.790119126597446,6.373533882343805,21037,29906,-0.41658524425364085
grupo_origem,2,11.61881518238094,10.927498701821529,21037,29906,-0.6913164805594114
grupo_origem,3,11.310209883989584,11.309909550158606,21037,29906,-0.00030033383097816113
grupo_origem,4,11.161344842435156,11.655834890497282,21037,29906,0.4944900480621257
grupo_origem,5,11.644940676549227,12.303936558171328,21037,29906,0.6589958816221007
grupo_origem,6,11.57930631661376,11.871702860190524,21037,29906,0.29239654357676415
grupo_origem,7,11.581147405821747,11.410605776134512,21037,29906,-0.17054162968723574
grupo_origem,8,11.546783742941725,11.652392927803685,21037,29906,0.1056091848619598
grupo_origem,9,12.42762254326494,12.241381049312567,21037,29906,-0.1862414939523731
