trimestre_origem,pct_muda_grupo,quebra
2019T1,4.140535448486764,False
2019T2,5.464658883853074,False
2019T3,6.32151806213184,False
2019T4,5.832381405912788,False
2020T1,5.124000865758181,False
2020T2,5.623610857310111,False
2020T3,5.543362981679396,False
2020T4,5.9231202118797235,False
2021T1,5.494999317331291,False
2021T2,5.2758951482507195,False
2021T3,5.603746647205928,False
2021T4,5.411726074063767,False
2022T1,6.326653020942254,False
2022T2,5.0141682732071775,False
2022T3,4.584734382044607,False
2022T4,6.402845361267563,False
2023T1,6.956120558715763,False
2023T2,6.51725757781868,False
2023T3,6.250142835428888,False
2023T4,6.489613405804701,False
2024T1,6.8038178875256285,False
2024T2,6.882545217154486,False
2024T3,5.461455610656777,False
2024T4,7.575546335172601,False
2025T1,6.498442750123858,False
2025T2,6.597750092356214,False
