trimestre_origem,muda_grupo_Q1,muda_grupo_Q4,sai_emprego_Q1,sai_emprego_Q4,n_Q1,n_Q4,dif_muda_grupo_Q4_Q1,dif_sai_emprego_Q4_Q1,periodo
2019T1,4.934692570570032,3.6941715073286794,5.5890682332685,8.008391309249934,754,722,-1.2405210632413528,2.419323075981434,pre
2019T2,5.304595379967553,5.215345111001752,4.775977482699763,6.052149483332055,790,722,-0.08925026896580146,1.2761720006322923,pre
2019T3,5.227684836329683,6.7323159014386915,6.800631864190712,5.9040347389011885,799,695,1.5046310651090087,-0.8965971252895235,pre
2019T4,6.043952553098217,4.1771566876364234,5.373212870683028,6.229831119980664,768,735,-1.8667958654617935,0.856618249297636,pre
2020T1,5.074918027681101,5.172776861403795,7.495218518207823,6.318654551077815,748,720,0.097858833722694,-1.1765639671300079,atipico
2020T2,4.954227457481506,4.665439780862215,7.401956839022561,7.289749305432415,694,737,-0.2887876766192914,-0.11220753359014601,atipico
2020T3,6.750487857891902,4.9979414778585225,7.014760852437348,6.807657769656587,735,744,-1.7525463800333796,-0.20710308278076095,atipico
2020T4,6.552265946345634,6.150391547009709,4.856205362667501,7.446253244594501,733,740,-0.4018743993359255,2.590047881927,atipico
2021T1,4.586283257087983,5.5635688612628105,5.5764367964751225,6.486976852411708,736,784,0.9772856041748277,0.9105400559365853,atipico
2021T2,7.169531532883741,4.713363443083748,6.984180285257739,7.028010828675548,747,797,-2.456168089799993,0.04383054341780923,atipico
2021T3,5.493933449006301,5.71410237061803,6.20488261257705,5.506718031235016,755,735,0.2201689216117293,-0.6981645813420343,atipico
2021T4,5.999788135690063,5.065948357011483,6.008495827392982,6.560351044879871,738,740,-0.9338397786785801,0.5518552174868896,pre
2022T1,6.726048526561836,7.197481220911216,6.322814562242814,7.81034768504305,745,768,0.47143269434937984,1.4875331228002358,pre
2022T2,5.491634890772606,5.308050786134902,6.901152796182806,7.520443433039807,782,732,-0.18358410463770447,0.6192906368570013,pre
2022T3,6.235839962900059,3.319689785053164,7.5723715152971804,7.465386841375065,720,731,-2.9161501778468946,-0.10698467392211519,excluido
2022T4,4.586468455084779,8.349125923645023,6.096651653461921,6.519633704972741,716,742,3.762657468560244,0.4229820515108207,excluido
2023T1,6.349943613936728,10.4952281605338,5.989921346325695,7.752554028725766,763,718,4.145284546597073,1.7626326824000706,pos
2023T2,4.486474552313877,8.580405313727253,8.174790151601973,6.477880019797075,770,716,4.093930761413376,-1.6969101318048985,pos
2023T3,6.2212316287336265,7.4196915333460325,6.751172769353051,6.979372266584177,757,675,1.198459904612406,0.22819949723112565,pos
2023T4,6.282370941986507,9.478694081510938,7.444176164397986,8.802628736939502,746,685,3.1963231395244307,1.3584525725415162,pos
2024T1,3.6425028769376473,10.659622000148238,7.5414240289062295,6.072917416627765,750,685,7.01711912321059,-1.468506612278465,pos
2024T2,4.080010966427404,10.959785114469469,7.353571959350597,5.372311334796364,769,697,6.879774148042065,-1.981260624554233,pos
2024T3,4.607295694295999,7.480730561939577,8.197424470758094,6.622449366860085,737,705,2.873434867643578,-1.5749751038980087,pos
2024T4,5.51731635008559,10.527893483158952,6.90945658808358,6.637835120387341,731,750,5.010577133073362,-0.27162146769623874,pos
2025T1,4.71305415159244,8.03374029218493,6.823477549314127,5.822965068531777,753,727,3.320686140592491,-1.0005124807823504,pos
2025T2,5.1635863781626545,8.971776987572241,7.358176875842843,6.843240403679583,730,732,3.8081906094095865,-0.5149364721632601,pos
