centro,peso,pct
-2.049,16104.91370941,0.0031501333518446444
-1.8995,331150.11008919,0.06477321301321019
-1.751,9790569.83658063,1.9150428951231362
-1.6025,18176493.8154085,3.5553359937632276
-1.4535,60554185.2501034,11.84444462056779
-1.3050000000000002,9116605.18042612,1.7832148965616583
-1.1565,16133805.41443566,3.155784591288406
-1.0075,56056487.29164589,10.964691484282305
-0.8585,18029525.81743689,3.5265889417505427
-0.71,6566964.95392443,1.2845033320274852
-0.5615,48779354.29867556,9.541278744506458
-0.4125,19171383.00833836,3.749937075432293
-0.264,19327569.39817489,3.7804872518943244
-0.1154,19901431.33096393,3.8927350817461868
0.0336,35933556.58556363,7.028630956553424
0.1825,12988829.77094214,2.540624967085057
0.331,4299052.10396374,0.8408978562922208
0.47950000000000004,7537744.03824315,1.4743884581426776
0.6285000000000001,22066184.20774844,4.316162388387145
0.7769999999999999,6010761.53481202,1.1757095208608799
0.9255,14389320.19977547,2.8145619585157737
1.0745,44669615.35527344,8.737410686187003
1.2235,42872459.34456947,8.38588560570931
1.3719999999999999,18526305.10141612,3.6237593469576255
