quartil,grupo_destino,pre,pos,n_pre,n_pos,dif_pp,nome_grupo
Q1,0,0.10965590950440499,0.13962095167513866,61089,90852,0.029965042170733674,"Forças armadas, policiais e bombeiros militares"
Q1,1,2.619776960855776,2.1990203667373014,61089,90852,-0.42075659411847477,Diretores e gerentes
Q1,2,2.096723902183805,2.3065839343334344,61089,90852,0.20986003214962956,Profissionais das ciências e intelectuais
Q1,3,6.125565899803413,7.108436455455598,61089,90852,0.9828705556521848,Técnicos e profissionais de nível médio
Q1,4,5.027352673691788,5.240857771677592,61089,90852,0.21350509798580397,Apoio administrativo
Q1,5,20.848551435345833,20.049717148011826,61089,90852,-0.7988342873340066,"Serviços, vendedores do comércio e mercados"
Q1,6,11.45436468050674,10.383106210854653,61089,90852,-1.0712584696520882,"Qualificados da agropecuária, florestais, caça e pesca"
Q1,7,15.962366880752244,16.695232538580605,61089,90852,0.732865657828361,"Operários, artesãos da construção e ofícios mecânicos"
Q1,8,13.635656657569942,14.130962020644283,61089,90852,0.4953053630743405,Operadores de instalações e máquinas e montadores
Q1,9,22.119984999786055,21.746462602029567,61089,90852,-0.37352239775648854,Ocupações elementares
Q2,0,0.41679389765264513,0.3949599022303234,35993,58436,-0.021833995422321728,"Forças armadas, policiais e bombeiros militares"
Q2,1,4.468098188836899,3.403675947210217,35993,58436,-1.0644222416266822,Diretores e gerentes
Q2,2,4.173987838261716,4.901800312659509,35993,58436,0.7278124743977923,Profissionais das ciências e intelectuais
Q2,3,11.700656439958259,12.3242072657987,35993,58436,0.6235508258404412,Técnicos e profissionais de nível médio
Q2,4,8.65893054190076,9.133234252056388,35993,58436,0.47430371015562756,Apoio administrativo
Q2,5,19.417436606732313,19.599457278238326,35993,58436,0.1820206715060131,"Serviços, vendedores do comércio e mercados"
Q2,6,2.9517099886106415,2.330973012214705,35993,58436,-0.6207369763959365,"Qualificados da agropecuária, florestais, caça e pesca"
Q2,7,14.845494166483917,15.003367498125101,35993,58436,0.15787333164118422,"Operários, artesãos da construção e ofícios mecânicos"
Q2,8,12.05318676317208,11.494663216444161,35993,58436,-0.558523546727919,Operadores de instalações e máquinas e montadores
Q2,9,21.313705568390784,21.413661315022573,35993,58436,0.09995574663178886,Ocupações elementares
Q3,0,0.29932012687581694,0.2940947283489744,40121,66201,-0.005225398526842562,"Forças armadas, policiais e bombeiros militares"
Q3,1,12.098832263684788,10.010881895063243,40121,66201,-2.087950368621545,Diretores e gerentes
Q3,2,11.60169492515168,13.214045075316246,40121,66201,1.6123501501645663,Profissionais das ciências e intelectuais
Q3,3,10.197198710925113,11.482293033646016,40121,66201,1.2850943227209033,Técnicos e profissionais de nível médio
Q3,4,12.63020242421757,13.33019927020676,40121,66201,0.6999968459891903,Apoio administrativo
Q3,5,12.940983190879237,12.365337930053801,40121,66201,-0.5756452608254357,"Serviços, vendedores do comércio e mercados"
Q3,6,2.1915413412541462,1.8087735739082713,40121,66201,-0.3827677673458749,"Qualificados da agropecuária, florestais, caça e pesca"
Q3,7,17.45833550172124,16.434413683742196,40121,66201,-1.0239218179790441,"Operários, artesãos da construção e ofícios mecânicos"
Q3,8,6.644077668844192,7.53913838795938,40121,66201,0.8950607191151878,Operadores de instalações e máquinas e montadores
Q3,9,13.937813846446211,13.52082242175511,40121,66201,-0.4169914246911013,Ocupações elementares
Q4,0,0.30649697471946014,0.24593344324075,48481,78915,-0.06056353147871013,"Forças armadas, policiais e bombeiros militares"
Q4,1,12.630290132129657,11.273527594199109,48481,78915,-1.356762537930548,Diretores e gerentes
Q4,2,14.847176966248888,16.346945877741987,48481,78915,1.4997689114930992,Profissionais das ciências e intelectuais
Q4,3,18.923995923283044,21.132934738165687,48481,78915,2.208938814882643,Técnicos e profissionais de nível médio
Q4,4,14.450924376114369,14.742054713848104,48481,78915,0.2911303377337351,Apoio administrativo
Q4,5,19.864483752426366,19.277569044871846,48481,78915,-0.58691470755452,"Serviços, vendedores do comércio e mercados"
Q4,6,1.0315769598586426,0.8082019976669,48481,78915,-0.22337496219174258,"Qualificados da agropecuária, florestais, caça e pesca"
Q4,7,7.568327444746662,6.96214687180718,48481,78915,-0.6061805729394818,"Operários, artesãos da construção e ofícios mecânicos"
Q4,8,3.65678885520401,3.569666788944053,48481,78915,-0.087122066259957,Operadores de instalações e máquinas e montadores
Q4,9,6.719938615268904,5.641018929514374,48481,78915,-1.0789196857545305,Ocupações elementares
Todos,0,0.2734263249375942,0.26116458152007643,185684,294404,-0.01226174341751779,"Forças armadas, policiais e bombeiros militares"
Todos,1,8.114046205344438,7.000131761979303,185684,294404,-1.1139144433651351,Diretores e gerentes
Todos,2,8.44665042115845,9.60559602220946,185684,294404,1.158945601051009,Profissionais das ciências e intelectuais
Todos,3,11.947609239404347,13.387581419341558,185684,294404,1.439972179937211,Técnicos e profissionais de nível médio
Todos,4,10.27924730943344,10.794383597199172,185684,294404,0.5151362877657313,Apoio administrativo
Todos,5,18.44720526256494,17.891493501671793,185684,294404,-0.5557117608931463,"Serviços, vendedores do comércio e mercados"
Todos,6,4.538025351727904,3.8253048187268996,185684,294404,-0.7127205330010042,"Qualificados da agropecuária, florestais, caça e pesca"
Todos,7,13.619674943225615,13.402073966706315,185684,294404,-0.2176009765193001,"Operários, artesãos da construção e ofícios mecânicos"
Todos,8,8.777882319368095,8.883419766887863,185684,294404,0.10553744751976879,Operadores de instalações e máquinas e montadores
Todos,9,15.55623262283517,14.948850563757565,185684,294404,-0.6073820590776045,Ocupações elementares
