quartil,destino,pre,pos,n_pre,n_pos,dif_pp
Q1,desocupado,4.408896059002876,2.9178993610873207,330415,490520,-1.4909966979155551
Q1,fora_da_forca,8.2131782580008,8.584368576546126,330415,490520,0.3711903185453256
Q1,mesmo_grupo,68.5291841596901,68.97574796072792,330415,490520,0.44656380103781146
Q1,outro_grupo,18.848741523306217,19.521984101638633,330415,490520,0.6732425783324167
Q2,desocupado,3.398341694715705,2.3205479566285496,167847,273413,-1.0777937380871552
Q2,fora_da_forca,5.128974207422759,5.24178076081038,167847,273413,0.11280655338762102
Q2,mesmo_grupo,70.18709368363392,70.77410886984606,167847,273413,0.5870151862121418
Q2,outro_grupo,21.285590414227617,21.66356241271501,167847,273413,0.3779719984873928
Q3,desocupado,3.016277856396627,2.0099477502328758,209444,338657,-1.0063301061637513
Q3,fora_da_forca,5.119731138010033,5.273218029503609,209444,338657,0.15348689149357586
Q3,mesmo_grupo,72.6776193644413,72.69522670180628,209444,338657,0.017607337364978548
Q3,outro_grupo,19.18637164115203,20.021607518457238,209444,338657,0.8352358773052089
Q4,desocupado,2.4334527444369627,1.623109695567184,199467,319712,-0.8103430488697787
Q4,fora_da_forca,3.8483950178059856,3.7919204412732688,199467,319712,-0.056474576532716814
Q4,mesmo_grupo,69.22410981352435,69.28771683541702,199467,319712,0.06360702189266476
Q4,outro_grupo,24.49404242423271,25.29725302774252,199467,319712,0.803210603509811
Todos,desocupado,3.3675132506498744,2.2344411085596283,907173,1422302,-1.133072142090246
Todos,fora_da_forca,5.739005011827639,5.832888906018232,907173,1422302,0.09388389419059262
Todos,mesmo_grupo,70.06930861169643,70.38352936744901,907173,1422302,0.31422075575258646
Todos,outro_grupo,20.824173125826064,21.549140617973123,907173,1422302,0.7249674921470586
