trimestre_origem,pct_muda_grupo,quebra
2019T1,19.94890386198102,False
2019T2,19.613134452527866,False
2019T3,19.713770716719576,False
2019T4,19.539352634340496,False
2020T1,9.93158587292892,True
2020T2,9.459350278051222,True
2020T3,9.627708040496909,True
2020T4,9.884170038570437,True
2021T1,9.714261490374517,True
2021T2,10.447910914566144,True
2021T3,10.967748524667714,True
2021T4,22.226499340293298,False
2022T1,22.510616443740965,False
2022T2,21.475234224068327,False
2022T3,20.634340051307372,False
2022T4,20.124395725955203,False
2023T1,20.271535740728886,False
2023T2,19.936407568414996,False
2023T3,20.919357196286203,False
2023T4,21.504606908848434,False
2024T1,22.00581537511623,False
2024T2,21.274407349991424,False
2024T3,21.697869750009875,False
2024T4,21.89253891866474,False
2025T1,22.077576342868984,False
2025T2,22.009018162858577,False
2025T3,21.772697765897924,False
