quartil,destino,pre,pos,n_pre,n_pos,dif_pp
Q1,desocupado,3.81878582693662,2.9178993610873207,548796,490520,-0.9008864658492994
Q1,fora_da_forca,6.834708477454317,8.584368576546126,548796,490520,1.749660099091809
Q1,mesmo_grupo,75.41964276028553,68.97574796072792,548796,490520,-6.4438947995576115
Q1,outro_grupo,13.926862935323541,19.521984101638633,548796,490520,5.595121166315092
Q2,desocupado,3.047697686194413,2.3205479566285496,279548,273413,-0.7271497295658635
Q2,fora_da_forca,4.625225471613225,5.24178076081038,279548,273413,0.6165552891971551
Q2,mesmo_grupo,76.28498441016035,70.77410886984606,279548,273413,-5.510875540314288
Q2,outro_grupo,16.042092432032025,21.66356241271501,279548,273413,5.621469980682985
Q3,desocupado,2.696488454349897,2.0099477502328758,348600,338657,-0.6865407041170211
Q3,fora_da_forca,4.674480299266272,5.273218029503609,348600,338657,0.5987377302373371
Q3,mesmo_grupo,77.81054605460648,72.69522670180628,348600,338657,-5.115319352800199
Q3,outro_grupo,14.818485191777366,20.021607518457238,348600,338657,5.203122326679871
Q4,desocupado,2.1448515764619027,1.623109695567184,343990,319712,-0.5217418808947187
Q4,fora_da_forca,3.325679567860667,3.7919204412732688,343990,319712,0.4662408734126018
Q4,mesmo_grupo,76.24624025560507,69.28771683541702,343990,319712,-6.958523420188058
Q4,outro_grupo,18.28322860007237,25.29725302774252,343990,319712,7.014024427670151
Todos,desocupado,2.9585436585302287,2.2344411085596283,1520934,1422302,-0.7241025499706004
Todos,fora_da_forca,4.962311129601918,5.832888906018232,1520934,1422302,0.8705777764163134
Todos,mesmo_grupo,76.3939440649279,70.38352936744901,1520934,1422302,-6.010414697478879
Todos,outro_grupo,15.685201146939967,21.549140617973123,1520934,1422302,5.863939471033156
